"","VSTM2L","N4BP1","GIT2","OMA1","AP2A1","SSU72","KLHL18","FOXH1","MRPS15","TTC19"
"VSTM2L",1,0.124,0.145,0.444,0.12,0.032,0.095,0.135,0.038,0.067
"N4BP1",0.124,1,0.122,0.219,0.15,0.071,0.302,0.133,0.156,0.05
"GIT2",0.145,0.122,1,0.143,0.358,0.032,0.085,0.298,0.047,0.081
"OMA1",0.444,0.219,0.143,1,0.165,0.107,0.248,0.184,0.191,0.177
"AP2A1",0.12,0.15,0.358,0.165,1,0.085,0.112,0.135,0.134,0.119
"SSU72",0.032,0.071,0.032,0.107,0.085,1,0.104,0.146,0.341,0.033
"KLHL18",0.095,0.302,0.085,0.248,0.112,0.104,1,0.073,0.285,0.157
"FOXH1",0.135,0.133,0.298,0.184,0.135,0.146,0.073,1,0.128,0.053
"MRPS15",0.038,0.156,0.047,0.191,0.134,0.341,0.285,0.128,1,0.053
"TTC19",0.067,0.05,0.081,0.177,0.119,0.033,0.157,0.053,0.053,1
